Reported DateTime,Shares Traded
2024-06-03 6:31 pm,75000
2024-05-17 6:30 pm,4999
2024-04-15 6:31 pm,59162
2024-04-15 6:30 pm,53194
2024-04-03 6:33 pm,54732
2024-04-03 6:31 pm,196410
2024-04-03 6:30 pm,54732
2024-03-01 6:34 pm,100000
2023-12-01 6:32 pm,5513
2023-11-20 6:31 pm,123448
2023-11-14 6:31 pm,4806
2023-10-10 6:31 pm,69785
2023-10-10 6:30 pm,63695
2023-10-03 9:08 pm,65536
2023-10-03 9:04 pm,240569
2023-10-03 9:02 pm,65536
