Datetime,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2022-09-27 15:30:00-04:00,1214802.8390111926,896145.9615008081,-353885.3929997944,590351.0060356295,-1972.173508371591,-36.99966089137773,-2.0670110701425224,8.705096094996291
2022-09-28 09:30:00-04:00,36766836.66261089,-13415472.938018596,-3795651.494313452,-1108324.9394582685,-2489.9304915591824,-23.647027782955323,6.9992850033590726,6.668553857365723
2022-09-28 10:30:00-04:00,11200187.113006592,-3138346.524328041,-1127941.0167685288,-316856.899258843,-1274.832387059337,-30.053050209166344,-3.798498425673798,8.705061657856701
2022-09-28 11:30:00-04:00,6106434.02720195,-2648850.4837427707,-1163724.8894926107,-586000.8616901535,-60.31468812358915,-31.621354843938416,-7.002194261219332,6.85070466939887
2022-09-28 12:30:00-04:00,4318612.891719307,-2884104.4556613513,-1643000.7021234292,-557584.8418890066,188.02107490344528,-32.108767061845896,-8.535963084255714,5.9083288284792905
2022-09-28 13:30:00-04:00,3095637.583000437,-2046815.311588649,-1718478.1693158639,-634327.0438470676,493.91317732804885,-29.64395057789383,-8.898714167635307,5.759995445138606
2022-09-28 14:30:00-04:00,7631988.634092424,-4611422.934555287,-2196815.385650456,-500162.25203294,-255.2819327818883,-28.94697465373789,-8.639269541370224,4.170091468323806
2022-09-28 15:30:00-04:00,5420761.080021775,-2323158.3660729607,-544092.5870447095,802115.704270487,-2853.235029607964,-31.300575810418515,-8.893162366095604,6.802092800401883
2022-09-29 09:30:00-04:00,27191556.824739426,-9148557.930292873,-3391762.355259829,-361858.02704774746,-2877.1704816676893,-28.674473809283445,2.2524075882609527,5.391637451878566
2022-09-29 10:30:00-04:00,8308321.129591829,-1050302.455472793,-1818351.4533735306,-366442.3035074326,-755.1841891908011,-30.64740661612761,-7.415619810687372,5.6340102075323895
2022-09-29 11:30:00-04:00,4655892.715553994,498342.7091904518,-1883878.569632072,-397754.7987045131,-236.0739748767928,-30.53614646953303,-9.427119422681677,4.630970332913125
2022-09-29 12:30:00-04:00,846812.8109906665,-619726.6324295045,-1642054.4292447313,-276135.9943845273,25.75540843961277,-37.368618618491105,-11.682294210974984,5.8629754379246934
2022-09-29 13:30:00-04:00,5868341.907206306,-1313929.972435989,-1940237.1389329813,-444865.4150427317,-249.02354489226065,-33.709951966801825,-9.614459411138858,5.169176837360679
2022-09-29 14:30:00-04:00,7373623.33895057,-2127422.287036943,-1740790.9063995492,-592642.0949493675,-156.47229878391295,-32.667660442334004,-10.362285583668774,2.7083631747416543
2022-09-29 15:30:00-04:00,7289010.788287617,-2844347.6967287483,327084.39800055284,185818.31256259256,-1957.6677141031898,-36.06018301496458,-12.036156898516724,3.2655966078944187
2022-09-30 09:30:00-04:00,17562205.405354217,-4321247.8739256505,-540999.3006094638,-939778.2200142674,-912.8690812727729,-24.093104993855448,-6.719500110217685,2.442872515140831
2022-09-30 10:30:00-04:00,6457053.6926788,-1435728.2973566696,-1298802.4643600828,-72703.09207632896,-1155.846556818983,-24.831455070925866,-15.2611447611104,0.6371907663321357
2022-09-30 11:30:00-04:00,2448240.8283666866,-1038283.4814572422,-1062686.638549719,-819661.1416463528,844.639652122405,-28.07483093193048,-14.499134899307334,2.504922715553193
2022-09-30 12:30:00-04:00,-264292.0890288396,-183451.46040656808,-1378300.9864191597,-755013.2435385147,1094.4983601809313,-29.758209190558002,-16.716978104726003,2.2852283128256277
2022-09-30 13:30:00-04:00,1267909.9809882129,-852675.1678489492,-933747.6556687827,-250277.34434601286,-166.37554232186392,-32.15407521998759,-16.81134970607684,4.182801208817073
2022-09-30 14:30:00-04:00,7098857.388919767,-2742876.3504003696,-975626.8620880845,-707658.4486735188,30.916383183736777,-31.377878727874535,-13.425325458139959,4.839149678586751
2022-09-30 15:30:00-04:00,13263242.380036978,-4905209.0153369205,1535392.8319884583,484259.2043381627,-3456.833418086688,-36.62630668868537,-12.091451463588166,8.897751955200006
2022-10-03 09:30:00-04:00,22836344.389012095,-7191430.913835758,-1382362.2004956284,3029184.6069861553,-9434.9972475314,-31.06249961705897,-17.655976750709986,2.3009494139164137
2022-10-03 10:30:00-04:00,6533661.677340389,-2560893.089447186,-763574.6275510351,-74664.66208190173,-1200.8842371201451,-30.733731611313814,-15.182315717025872,1.0687033360184541
